,Date,Open,High,Low,Adj Close,Volume
183,2022-04-20,81.599998,82.300003,80.0,80.300003,12797463
219,2022-06-10,67.300003,69.699997,66.5,69.0,42040372
279,2022-09-07,59.650002,60.400002,59.200001,59.5,59843737
414,2023-03-22,53.400002,53.900002,52.700001,53.099998,38444991
439,2023-05-03,63.450001,64.949997,63.150002,63.549999,65082316
228,2022-06-23,67.050003,70.0,66.5,69.550003,33785882
10,2021-08-06,135.5,136.199997,130.100006,131.350006,31975356
601,2023-12-27,125.699997,127.599998,125.550003,127.050003,21757560
28,2021-09-02,132.0,138.5,131.5,137.600006,27882466
482,2023-07-04,75.800003,76.199997,74.5,74.800003,24150257
207,2022-05-25,65.699997,66.900002,60.650002,62.299999,104446924
393,2023-02-20,51.900002,55.049999,51.75,54.599998,93315254
124,2022-01-20,127.949997,130.699997,125.0,125.199997,23290545
69,2021-11-02,132.699997,133.600006,131.75,132.449997,7367792
161,2022-03-16,80.0,80.0,75.5,75.949997,42383305
194,2022-05-06,59.299999,62.299999,57.650002,60.5,47189321
137,2022-02-09,94.5,95.449997,93.599998,94.199997,7876462
520,2023-08-28,96.0,96.099998,91.75,92.349998,141118441
565,2023-11-02,105.0,108.0,104.900002,107.550003,47086204
112,2022-01-04,141.350006,141.550003,137.600006,138.350006,10705792
325,2022-11-15,69.599998,71.150002,69.099998,69.949997,68397103
388,2023-02-13,53.0,53.700001,51.25,51.799999,86162276
100,2021-12-17,138.949997,141.0,132.350006,135.350006,95386202
343,2022-12-09,64.199997,64.849998,63.900002,64.150002,36490408
312,2022-10-25,62.700001,64.900002,62.400002,64.599998,81043498
432,2023-04-21,54.299999,56.75,54.099998,56.049999,106707937
341,2022-12-07,65.099998,65.400002,64.099998,64.449997,29775697
478,2023-06-27,75.150002,76.949997,74.849998,76.150002,59078137
566,2023-11-03,108.800003,119.900002,108.699997,116.5,238833377
549,2023-10-10,104.900002,107.949997,104.650002,106.050003,67712329
110,2021-12-31,133.850006,138.399994,133.399994,137.399994,11452243
461,2023-06-02,70.0,73.199997,69.5,71.150002,170769117
283,2022-09-13,63.0,66.599998,62.799999,65.449997,199032705
281,2022-09-09,62.0,63.650002,62.0,62.799999,139369425
407,2023-03-13,53.950001,54.700001,51.599998,51.900002,52374659
187,2022-04-26,80.599998,80.900002,78.599998,79.599998,9548939
442,2023-05-08,64.599998,66.199997,63.5,64.900002,104940671
122,2022-01-18,134.5,134.600006,132.800003,133.050003,9428096
462,2023-06-05,71.300003,72.150002,69.599998,71.25,84075166
387,2023-02-10,52.700001,54.150002,50.700001,53.299999,176950201
584,2023-12-01,118.0,118.349998,115.099998,116.300003,57261076
92,2021-12-07,141.350006,143.800003,138.649994,139.800003,36835410
410,2023-03-16,50.900002,53.700001,49.849998,53.049999,61237058
554,2023-10-17,112.5,114.199997,111.5,113.849998,55351894
195,2022-05-09,59.599998,60.400002,55.650002,56.75,38279098
62,2021-10-22,138.949997,142.0,135.800003,137.75,11468458
616,2024-01-17,132.399994,132.399994,126.75,127.400002,76780526
540,2023-09-26,98.599998,100.400002,97.900002,99.900002,36822528
174,2022-04-05,83.0,85.150002,82.349998,83.900002,28433443
18,2021-08-18,134.5,136.800003,133.300003,134.949997,22566920
523,2023-08-31,100.050003,100.800003,96.699997,97.599998,113063640
441,2023-05-05,65.5,66.699997,64.25,65.400002,94016138
45,2021-09-28,143.899994,143.899994,137.649994,139.0,13489232
302,2022-10-11,68.400002,69.199997,65.0,65.550003,70171064
583,2023-11-30,118.800003,120.699997,116.150002,118.550003,225208168
130,2022-01-31,91.349998,92.5,89.650002,90.400002,20203799
567,2023-11-06,119.599998,123.900002,118.25,123.300003,186288904
50,2021-10-05,138.75,138.800003,137.149994,137.949997,10912142
97,2021-12-14,144.699997,144.949997,140.0,140.649994,19474412
197,2022-05-11,52.0,56.450001,50.299999,54.200001,99812774
215,2022-06-06,70.0,71.199997,69.199997,69.900002,30078469
238,2022-07-07,54.650002,55.150002,53.75,54.450001,35759428
517,2023-08-23,92.949997,95.0,92.050003,94.300003,64768237
625,2024-01-31,140.0,142.0,138.0,139.550003,89833027
550,2023-10-11,106.800003,109.800003,106.550003,109.0,93838782
63,2021-10-25,138.0,138.949997,131.550003,132.699997,13530512
471,2023-06-16,75.550003,76.0,73.900002,74.449997,45783616
440,2023-05-04,63.5,66.599998,63.349998,65.699997,123042355
497,2023-07-25,81.300003,83.199997,79.300003,82.650002,72459586
169,2022-03-29,80.050003,80.5,78.050003,78.199997,13466521
247,2022-07-20,54.5,54.5,53.200001,53.400002,37683099
257,2022-08-03,52.5,56.900002,51.75,55.450001,599688336
251,2022-07-26,46.599998,46.650002,41.200001,41.650002,412304737
428,2023-04-17,54.200001,54.25,53.0,53.950001,24787918
269,2022-08-23,62.299999,65.25,62.150002,64.449997,218585102
600,2023-12-26,128.5,128.699997,124.300003,125.0,25499782
622,2024-01-25,135.899994,138.199997,132.800003,136.149994,60682540
153,2022-03-04,80.5,82.900002,79.5,80.199997,15145236
460,2023-06-01,68.699997,68.800003,67.599998,67.949997,57846081
76,2021-11-12,142.0,155.199997,142.0,153.0,140547798
458,2023-05-30,67.5,68.300003,66.449997,66.849998,60699589
375,2023-01-24,51.0,52.299999,50.650002,52.099998,47720352
40,2021-09-21,137.199997,138.0,131.0,133.449997,19330196
542,2023-09-28,100.349998,100.599998,99.300003,99.949997,25885383
548,2023-10-09,103.800003,105.25,101.0,103.900002,53811658
65,2021-10-27,136.199997,139.25,134.5,134.800003,8982174
574,2023-11-16,120.900002,122.550003,120.699997,121.849998,36895083
206,2022-05-24,57.950001,67.599998,57.900002,64.949997,193577787
8,2021-08-04,139.800003,141.0,135.25,138.399994,41134419
77,2021-11-15,149.0,163.300003,142.350006,160.300003,121197599
535,2023-09-18,103.599998,105.0,101.650002,102.150002,69476642
58,2021-10-18,136.0,146.149994,135.899994,144.050003,31446800
447,2023-05-15,62.099998,64.099998,61.950001,63.700001,55886001
250,2022-07-25,52.5,52.5,46.0,47.599998,232841112
372,2023-01-19,50.299999,51.900002,50.049999,51.099998,54523340
472,2023-06-19,74.599998,77.0,74.099998,75.849998,62744981
424,2023-04-10,52.150002,54.200001,51.799999,53.950001,60655412
377,2023-01-27,49.0,51.799999,46.700001,46.950001,169788452
480,2023-06-30,75.0,75.449997,74.0,75.050003,49245376
496,2023-07-24,80.800003,82.449997,80.550003,81.300003,64291285
119,2022-01-13,132.5,133.449997,132.350006,133.100006,6535224
609,2024-01-08,133.649994,133.649994,130.0,132.850006,38912423
603,2023-12-29,124.0,125.550003,123.25,123.699997,27512604
319,2022-11-04,62.75,63.650002,62.450001,63.0,35296904
364,2023-01-09,56.0,57.25,55.75,56.0,35490334
412,2023-03-20,53.599998,54.75,52.200001,53.549999,65578919
141,2022-02-15,83.5,84.650002,75.75,82.699997,106216252
88,2021-12-01,153.0,157.899994,149.449997,151.399994,32604856
323,2022-11-11,66.0,73.550003,65.5,72.800003,397758848
321,2022-11-09,65.449997,67.5,65.0,65.300003,87424592
60,2021-10-20,138.5,140.399994,133.850006,137.899994,12607297
486,2023-07-10,73.449997,75.550003,73.400002,74.800003,33812208
385,2023-02-08,51.200001,55.299999,51.099998,54.299999,265595807
419,2023-03-29,50.25,51.75,49.599998,51.25,41464387
433,2023-04-24,55.5,56.400002,54.700001,56.0,43287483
301,2022-10-10,68.400002,69.699997,67.5,68.699997,87158481
612,2024-01-11,135.300003,139.0,135.050003,138.350006,41809415
296,2022-09-30,61.5,62.849998,59.75,62.349998,71494895
315,2022-10-31,63.599998,63.849998,62.099998,63.099998,45949861
581,2023-11-28,114.900002,116.900002,113.5,113.800003,61963724
46,2021-09-29,138.0,139.5,136.5,138.5,10801439
86,2021-11-29,148.800003,153.899994,137.5,149.100006,43972445
109,2021-12-30,137.050003,137.050003,133.300003,133.949997,8369208
360,2023-01-03,58.849998,59.549999,57.299999,58.950001,49702768
16,2021-08-16,136.399994,136.899994,132.25,134.949997,20305361
493,2023-07-19,79.0,80.349998,77.25,77.650002,42130927
193,2022-05-05,65.75,66.650002,60.5,61.150002,40296393
624,2024-01-30,135.850006,138.800003,134.649994,137.199997,57612020
401,2023-03-02,54.75,55.200001,54.349998,54.549999,36256148
539,2023-09-25,100.300003,100.5,97.75,98.449997,34410972
438,2023-05-02,64.5,65.650002,63.049999,63.450001,112758256
140,2022-02-14,87.0,87.0,80.550003,82.449997,35049550
198,2022-05-12,53.799999,53.900002,51.049999,51.950001,37338266
467,2023-06-12,78.300003,80.300003,76.5,77.949997,105388190
14,2021-08-12,135.649994,137.399994,132.050003,135.449997,51256670
87,2021-11-30,149.949997,158.0,145.300003,152.550003,258130152
265,2022-08-17,64.800003,65.599998,61.799999,65.25,258066522
262,2022-08-11,56.900002,58.150002,56.349998,57.900002,130942734
222,2022-06-15,70.650002,71.900002,68.949997,70.199997,33246369
259,2022-08-05,57.900002,59.150002,53.25,54.599998,315019033
3,2021-07-28,131.0,135.0,123.550003,131.199997,159793731
354,2022-12-26,53.950001,59.75,53.450001,58.150002,83571451
489,2023-07-13,77.849998,84.5,77.650002,82.199997,192605002
473,2023-06-20,76.0,76.400002,74.800003,75.849998,30591595
139,2022-02-11,92.75,92.75,86.5,88.699997,39976783
67,2021-10-29,135.0,135.0,130.5,131.550003,12925877
515,2023-08-21,90.5,90.5,88.300003,89.75,36755760
342,2022-12-08,64.800003,64.800003,63.650002,63.799999,35341241
56,2021-10-13,137.25,137.399994,134.350006,135.449997,6351349
304,2022-10-13,64.099998,64.650002,61.0,61.25,73750800
51,2021-10-06,138.75,139.199997,133.699997,134.949997,9988184
513,2023-08-17,92.300003,93.25,90.5,91.150002,45657095
465,2023-06-08,74.800003,76.349998,73.699997,75.800003,88006842
530,2023-09-11,100.0,102.550003,99.199997,101.349998,83850675
305,2022-10-14,63.0,64.150002,61.599998,61.900002,85139332
434,2023-04-25,56.400002,60.599998,56.200001,57.75,199056106
537,2023-09-21,100.0,100.949997,98.25,99.150002,40591612
357,2022-12-29,59.5,61.549999,59.0,60.849998,24973807
186,2022-04-25,80.5,81.599998,78.599998,78.75,16717052
555,2023-10-18,114.5,115.099998,109.5,113.199997,100553806
129,2022-01-28,93.599998,96.449997,88.800003,89.550003,61452438
359,2023-01-02,60.650002,60.700001,59.799999,60.299999,18759536
244,2022-07-15,56.200001,56.200001,53.349998,53.900002,47995067
255,2022-08-01,46.799999,47.25,45.049999,46.299999,135944043
390,2023-02-15,50.549999,50.900002,49.799999,50.25,49655881
154,2022-03-07,79.0,79.650002,78.0,79.0,9764606
371,2023-01-18,50.400002,51.450001,48.849998,51.0,84541855
629,2024-02-06,140.399994,141.800003,138.050003,139.949997,46782951
593,2023-12-14,121.0,124.949997,120.5,124.150002,74178495
158,2022-03-11,82.400002,82.400002,79.5,79.900002,18964704
590,2023-12-11,119.949997,120.5,117.550003,118.449997,32372287
271,2022-08-25,62.799999,63.200001,61.650002,62.099998,81137105
484,2023-07-06,74.449997,75.25,74.300003,74.75,24467816
146,2022-02-22,78.0,80.550003,77.0,79.699997,28814770
394,2023-02-21,54.599998,56.150002,54.400002,55.349998,100106053
418,2023-03-28,50.200001,50.549999,49.0,50.25,50426174
576,2023-11-20,122.849998,123.400002,117.349998,118.150002,52784478
623,2024-01-29,136.899994,137.699997,132.350006,135.550003,55871017
588,2023-12-07,119.599998,122.199997,118.400002,121.699997,52483562
290,2022-09-22,62.900002,63.75,62.599998,63.299999,34716572
411,2023-03-17,53.450001,55.75,53.049999,54.900002,112918857
213,2022-06-02,74.400002,74.400002,71.400002,71.949997,47866809
358,2022-12-30,61.0,61.450001,59.0,59.299999,33251260
180,2022-04-13,82.5,88.300003,82.150002,83.900002,52988189
380,2023-02-01,50.0,51.049999,47.049999,48.150002,68752685
99,2021-12-16,141.899994,142.850006,137.399994,138.399994,17182101
135,2022-02-07,95.099998,95.5,93.349998,93.550003,10900141
176,2022-04-07,84.800003,85.25,82.25,82.5,9709022
504,2023-08-03,81.599998,88.400002,81.599998,86.550003,123480816
559,2023-10-25,105.650002,109.5,105.550003,108.25,59685089
596,2023-12-19,129.0,131.75,127.400002,130.25,64117314
627,2024-02-02,141.800003,145.0,141.449997,143.800003,78666454
39,2021-09-20,137.699997,140.850006,133.25,134.300003,19799941
340,2022-12-06,64.75,65.449997,64.449997,64.800003,40042683
2,2021-07-27,141.699997,147.800003,127.75,132.899994,240341900
451,2023-05-19,63.950001,65.0,63.200001,64.5,73620039
68,2021-11-01,133.600006,134.300003,132.0,132.649994,6200243
208,2022-05-26,61.0,62.5,59.599998,60.450001,46556399
608,2024-01-05,130.899994,134.350006,128.949997,133.300003,55608923
420,2023-03-31,51.25,51.700001,50.650002,51.0,56566133
253,2022-07-28,44.900002,46.299999,43.049999,45.700001,267544569
339,2022-12-05,68.849998,69.0,65.0,65.449997,85107187
409,2023-03-15,51.5,52.200001,50.549999,50.75,38763143
111,2022-01-03,139.699997,142.449997,138.300003,141.350006,22518241
224,2022-06-17,65.650002,69.400002,65.300003,67.050003,33597224
544,2023-10-03,101.0,105.900002,100.0,105.300003,82983688
73,2021-11-09,133.0,138.899994,131.649994,137.649994,26457361
47,2021-09-30,139.199997,139.199997,136.149994,136.600006,7825751
113,2022-01-05,137.899994,137.899994,133.300003,133.949997,15874857
96,2021-12-13,142.199997,144.449997,141.899994,142.649994,20318225
214,2022-06-03,73.900002,74.849998,71.199997,72.150002,35779760
569,2023-11-08,122.0,125.699997,121.300003,125.150002,75041688
123,2022-01-19,131.699997,132.399994,128.25,129.199997,27812341
106,2021-12-27,131.350006,133.850006,128.0,132.75,13934154
595,2023-12-18,123.400002,129.199997,121.550003,128.550003,89553155
17,2021-08-17,132.800003,134.350006,130.600006,132.5,15815187
98,2021-12-15,140.5,142.0,140.0,140.600006,12791660
322,2022-11-10,65.5,65.949997,63.150002,63.950001,44332611
382,2023-02-03,48.150002,49.25,47.700001,48.75,42497841
365,2023-01-10,56.0,56.150002,53.799999,54.700001,45966335
510,2023-08-11,94.599998,95.199997,93.050003,93.449997,38156809
